driver=hardware size=960x540 samples=216 flow-prepare=0.45ms/pair fuse=0.17ms/frame

fps  start  alpha  lane        psnr  xfade   gain   bad%   max
 30   5.10   0.50  linear      36.14  30.30   5.84   0.98  194
 30   5.10   0.50  occlusion   39.10  31.61   7.49   0.51  225
 30   5.10   0.50  detail      12.95  16.95  -3.99  85.55  196
 30   5.10   0.83  linear      41.99  34.09   7.90   0.44  176
 30   5.10   0.83  occlusion   40.04  34.07   5.97   0.50  225
 30   5.10   0.83  detail      17.84  22.19  -4.35  83.65  153
 30   5.70   0.17  linear      39.17  38.41   0.76   0.17  174
 30   5.70   0.17  occlusion   33.34  29.44   3.90   1.71  232
 30   5.70   0.17  detail      20.94  22.27  -1.33  66.69  150
 30   5.70   0.50  linear      41.94  35.32   6.62   0.12  197
 30   5.70   0.50  occlusion   32.23  26.10   6.13   2.38  238
 30   5.70   0.50  detail      15.22  16.92  -1.70  76.87  199
 30   5.70   0.83  linear      52.90  38.71  14.19   0.08  134
 30   5.70   0.83  occlusion   34.74  30.13   4.61   1.93  225
 30   5.70   0.83  detail      21.40  22.31  -0.91  63.02  151
 20   0.35   0.17  linear      33.91  30.41   3.50   0.74  242
 20   0.35   0.17  occlusion   27.83  27.23   0.61   2.39  244
 20   0.35   0.17  detail      14.93  15.65  -0.72  86.72  245
 20   0.35   0.50  linear      31.51  27.28   4.23   0.90  245
 20   0.35   0.50  occlusion   23.48  22.84   0.64   2.64  246
 20   0.35   0.50  detail       8.86   9.97  -1.11  86.44  231
 20   0.35   0.83  linear      34.35  30.23   4.12   0.69  243
 20   0.35   0.83  occlusion   25.04  25.28  -0.24   2.78  242
 20   0.35   0.83  detail      14.94  15.62  -0.68  86.74  246
 20   1.10   0.17  linear      35.20  29.04   6.16   0.97  242
 20   1.10   0.17  occlusion   22.94  23.59  -0.65   5.31  244
 20   1.10   0.17  detail      15.00  15.65  -0.65  85.87  220
 20   1.10   0.50  linear      30.06  26.06   3.99   1.09  252
 20   1.10   0.50  occlusion   22.09  20.38   1.71   5.16  251
 20   1.10   0.50  detail       8.91   9.96  -1.04  86.34  255
 20   1.10   0.83  linear      36.77  29.11   7.66   0.86  242
 20   1.10   0.83  occlusion   21.21  22.91  -1.70   5.33  252
 20   1.10   0.83  detail      15.02  15.61  -0.59  85.66  237
 20   1.95   0.17  linear      32.67  29.13   3.54   0.91  243
 20   1.95   0.17  occlusion   23.85  24.95  -1.10   3.45  252
 20   1.95   0.17  detail      14.98  15.68  -0.70  86.67  245
 20   1.95   0.50  linear      32.29  25.79   6.51   0.92  249
 20   1.95   0.50  occlusion   23.65  21.65   2.00   3.59  253
